Date,Entry Time,Signal,Regime,Exit Reason,PnL,Entry,Exit,Ticker
2025-12-16,2025-12-16 10:30:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-5.199951171875,3200.5,3205.699951171875,TCS
2025-12-19,2025-12-19 10:15:00+05:30,LONG,BULLISH,Hard SL,-8.25,3315.0,3306.75,TCS
2025-12-26,2025-12-26 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,23.300048828125,3300.199951171875,3276.89990234375,TCS
2026-01-07,2026-01-07 10:30:00+05:30,LONG,BULLISH,EOD Square Off,10.60009765625,3285.0,3295.60009765625,TCS
2026-02-11,2026-02-11 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,54.5,2961.5,2907.0,TCS
2025-12-09,2025-12-09 09:45:00+05:30,SHORT,BEARISH,Hard SL,-3.574981689453125,680.2000122070312,683.7749938964844,DLF
2025-12-10,2025-12-10 11:45:00+05:30,SHORT,BEARISH,EOD Square Off,3.45001220703125,688.4500122070312,685.0,DLF
2026-01-14,2026-01-14 09:45:00+05:30,SHORT,BEARISH,Hard SL,-3.500030517578125,645.3499755859375,648.8500061035156,DLF
2026-02-05,2026-02-05 10:45:00+05:30,SHORT,BEARISH,Hard SL,-4.5999755859375,648.9500122070312,653.5499877929688,DLF
2026-02-06,2026-02-06 10:00:00+05:30,SHORT,BEARISH,Hard SL,-6.050018310546875,653.5999755859375,659.6499938964844,DLF
2026-02-10,2026-02-10 11:30:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-3.550048828125,667.0999755859375,670.6500244140625,DLF
2026-02-13,2026-02-13 09:45:00+05:30,SHORT,BEARISH,Hard SL,-7.024993896484375,626.4500122070312,633.4750061035156,DLF
2026-02-18,2026-02-18 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-0.949951171875,636.4000244140625,637.3499755859375,DLF
2026-02-19,2026-02-19 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,17.8499755859375,636.0,618.1500244140625,DLF
2026-02-20,2026-02-20 12:15:00+05:30,LONG,BULLISH,EOD Square Off,4.1500244140625,625.25,629.4000244140625,DLF
